flight.date,Class,Tag,Tag_2,Mark,area.m2,mass.act,wean.date,weighing_date,days.since.wean,wean.mass,rate.mass.loss,days.to.flight,flight.mass,area1.5,predicted.mass,residual.err,percent.error
2025-04-11,wean,GM815,GM497,,0.4759,123.6,2025-02-20,2025-03-11,19,138.41972365995449,4.83160552680091,50,104.98024856726994,0.3283020217406527,109.0156080006953,-4.035359433425356,-3.843922536380309
2025-04-11,wean,GM425,,,0.4393,134.4,2025-02-13,2025-02-15,2,136.0116342576114,4.879767314847772,57,98.18044200212007,0.2911667674323428,102.66028057837114,-4.479838576251069,-4.562862505909612
2025-04-11,wean,GM711,,,0.4513,118.8,2025-02-27,2025-02-28,1,119.51016218112625,5.209796756377475,43,92.73734500385501,0.30317822101364733,104.71592074427559,-11.978575740420581,-12.916668834893475
2025-04-11,wean,GM497,GM815,,0.4626,123.6,2025-02-20,2025-03-11,19,138.41972365995449,4.83160552680091,50,104.98024856726994,0.3146360220572336,106.67680881487496,-1.6965602476050208,-1.616075662573696
2025-04-11,wean,GM435,,,0.4051,131.2,2025-02-16,2025-02-18,2,132.77326201338255,4.944534759732349,54,97.32215351721862,0.25783588705027083,96.95603370978334,0.3661198074352825,0.3761936971221122
2025-04-11,wean,GM585,,,0.4658,123.6,2025-02-24,2025-02-06,10,131.19051045218524,4.976189790956295,46,101.16038202818982,0.3179063672089629,107.23649568414191,-6.076113655952099,-6.00641628089038
2025-04-11,wean,GM579,,,0.4867,140.2,2025-02-26,2025-02-26,0,140.2,4.795999999999999,44,110.6144352,0.3395408404934523,110.93901944204941,-0.3245842420494114,-0.29343750791886825
2025-04-11,wean,GM563,,,0.4143,125.4,2025-02-23,2025-02-24,1,126.14961563563327,5.077007687287335,47,96.04787492410199,0.26666891871194887,98.46771874836293,-2.419843824260937,-2.5194142256381227
2025-04-11,wean,GM570,,,0.4945,127.6,2025-02-12,2025-02-25,13,137.87953524343126,4.842409295131374,58,99.1547249453025,0.34773583166679845,112.34151023145589,-13.18678528615338,-13.29920010713328
2025-04-11,wean,GM425,,,0.4693,134.4,2025-02-13,2025-02-15,2,136.0116342576114,4.879767314847772,57,98.18044200212007,0.3214961905792975,107.85085805574097,-9.670416053620897,-9.849635891242043
2025-03-11,wean,GM815,,,0.5573,123.6,2025-02-20,2025-03-11,19,138.41972365995449,4.83160552680091,19,125.71272312473437,0.4160385409033639,124.03083589020169,1.681887234532681,1.3378814751024708
2025-03-11,wean,GM815,,,0.5133,123.6,2025-02-20,2025-03-11,19,138.41972365995449,4.83160552680091,19,125.71272312473437,0.3677535691696275,115.76734582769004,9.945377297044331,7.911193910879135
2025-03-11,wean,GM407,,,0.3307,114.6,2025-02-11,2025-03-08,25,133.01312456336117,4.939737508732776,28,114.61572678769853,0.19017406616833957,85.37638968404963,29.239337103648907,25.510754870322998
2025-03-11,wean,GM313,,,0.4843,87,2025-02-09,2025-03-11,27,102.18941680644747,5.55621166387105,30,85.15583591892255,0.33703243925028936,110.50973165329452,-25.353895734371974,-29.77352692364102
2025-03-11,wean,GM627,,,0.5793,139.6,2025-03-02,2024-03-04,2,141.27398915448327,4.774520216910334,9,135.20334949840841,0.44091542528811584,128.28826588380815,6.915083614600263,5.114580104897228
2025-03-11,wean,GM472,,,0.5626,110.2,2025-02-13,2025-03-06,21,124.89294079994788,5.1021411840010416,26,108.32518396194101,0.4219875049998518,125.04894160567463,-16.72375764373362,-15.438476106912818
2025-03-11,wean,GM583,,,0.5112,141,2025-02-22,2025-02-26,4,144.4018286815466,4.711963426369068,17,132.8347543789262,0.36549906282779987,115.38150961234966,17.453244766576532,13.139065034734188
2025-03-11,wean,GM552,,,0.5559,152,2025-02-20,2025-02-24,4,155.66721957159632,4.486655608568073,19,142.39714070013542,0.41447182278051176,123.76270775065677,18.63443294947865,13.086240958110004
2025-03-11,wean,GM637,,,0.5609,142.4,2025-03-03,2025-03-05,2,144.10756486818352,4.71784870263633,8,138.668543364556,0.42007628060746294,124.7218546631612,13.946688701394805,10.057572080157591
2025-03-01,wean,GM736,GM737,A15 R,0.3932,91,2025-02-18,2025-03-01,11,97.16586887276563,5.656682622544687,11,91.1198675712383,0.24655866151486142,95.02604933165338,-3.9061817604150804,-4.286860664455196
